Model,Accuracy,Precision,Recall,F1,Exact Match Ratio,Training Time,Prediction Time
xgboost,0.8710987996306555,0.872571719480567,0.8710987996306555,0.871709360268238,0.6509695290858726,7.2127,0.1532
mlp,0.8614958448753463,0.8636307634274275,0.8614958448753463,0.86217811982831,0.6282548476454294,0.7362,0.1178
svm,0.8470914127423823,0.8440287236744485,0.8470914127423823,0.843887789957341,0.5933518005540166,14.7881,2.0251
random_forest,0.8448753462603878,0.8335263816158066,0.8448753462603878,0.8336211823180822,0.585595567867036,2.2734,1.2491
